n,ipl
1499,17590.1
2999,17370.35
4499,17281.75
5999,17209.75
7499,17095.85
8999,17063.0
10499,17009.85
11999,16961.75
13499,16958.05
14999,16905.65
16499,16934.3
17999,16810.9
19499,16786.8
20999,16740.75
22499,16749.75
23999,16771.85
25499,16755.15
26999,16737.5
28499,16697.55
29999,16661.15
31499,16689.65
32999,16695.75
34499,16669.5
35999,16673.1
37499,16652.6
38999,16656.5
40499,16668.7
41999,16650.25
43499,16615.95
44999,16622.2
46499,16572.35
47999,16561.25
49499,16554.65
50999,16568.2
52499,16550.0
53999,16556.95
55499,16582.7
56999,16583.2
58499,16544.9
59999,16579.85
61499,16546.65
62999,16556.3
64499,16511.65
65999,16541.9
67499,16518.15
68999,16532.65
70499,16514.5
71999,16523.75
73499,16493.65
74999,16477.25
76499,16525.05
77999,16506.8
79499,16496.8
80999,16510.55
82499,16514.6
83999,16478.0
85499,16475.55
86999,16461.4
88499,16425.3
89999,16397.85
91499,16423.8
92999,16441.45
94499,16448.05
95999,16428.0
97499,16429.4
98999,16417.45
100499,16439.6
101999,16420.35
103499,16428.45
104999,16447.45
106499,16439.35
107999,16456.9
109499,16446.55
110999,16455.75
112499,16405.05
113999,16397.65
115499,16404.7
116999,16402.35
118499,16390.9
119999,16357.3
121499,16344.15
122999,16378.05
124499,16368.95
125999,16365.45
127499,16391.35
128999,16382.45
130499,16392.85
131999,16376.4
133499,16386.8
134999,16407.45
136499,16421.85
137999,16441.3
139499,16428.35
140999,16399.6
142499,16398.8
143999,16382.2
145499,16372.75
146999,16393.85
148499,16373.05
149999,16385.7
151499,16431.7
152999,16418.9
154499,16389.05
155999,16384.95
157499,16386.65
158999,16386.55
160499,16416.15
161999,16388.3
163499,16387.4
164999,16375.75
166499,16394.0
167999,16378.4
169499,16406.9
170999,16416.6
172499,16392.3
173999,16362.2
175499,16365.6
176999,16352.1
178499,16370.75
179999,16391.7
181499,16371.55
182999,16350.45
184499,16312.75
185999,16354.15
187499,16351.1
188999,16362.1
190499,16336.65
191999,16363.7
193499,16360.3
194999,16342.55
196499,16322.85
197999,16320.5
199499,16312.45
200999,16314.45
202499,16319.45
203999,16333.5
205499,16314.05
206999,16351.55
208499,16339.9
209999,16345.6
211499,16360.35
212999,16364.25
214499,16342.75
215999,16368.65
217499,16392.75
218999,16363.05
220499,16313.45
221999,16320.15
223499,16291.85
224999,16315.05
226499,16310.15
227999,16334.6
229499,16307.75
230999,16318.15
232499,16288.1
233999,16308.45
235499,16343.15
236999,16307.8
238499,16346.25
239999,16348.8
241499,16375.95
242999,16251.45
244499,16243.8
245999,16250.4
247499,16182.55
248999,16196.65
250499,16195.7
251999,16203.55
253499,16191.1
254999,16191.2
256499,16213.55
257999,16215.15
259499,16228.4
260999,16237.75
262499,16236.1
263999,16233.65
265499,16209.75
266999,16204.2
268499,16224.2
269999,16256.4
271499,16270.7
272999,16300.2
274499,16316.6
275999,16293.1
277499,16263.2
278999,16272.15
280499,16254.0
281999,16225.5
283499,16211.1
284999,16233.25
286499,16272.7
287999,16262.3
289499,16252.55
290999,16219.1
292499,16193.55
293999,16216.6
295499,16219.25
296999,16230.85
298499,16256.95
299999,16256.35
301499,16237.25
302999,16215.3
304499,16223.75
305999,16212.15
307499,16186.85
308999,16188.9
310499,16183.9
311999,16148.8
313499,16164.65
314999,16166.05
316499,16176.95
317999,16139.2
319499,16154.2
320999,16161.55
322499,16160.25
323999,16139.5
325499,16159.4
326999,16172.5
328499,16164.5
329999,16139.25
331499,16092.2
332999,16113.95
334499,16140.3
335999,16151.3
337499,16157.25
338999,16149.5
340499,16158.35
341999,16177.35
343499,16163.05
344999,16187.85
346499,16154.0
347999,16186.35
349499,16167.45
350999,16169.9
352499,16153.1
353999,16152.45
355499,16155.8
356999,16145.65
358499,16154.35
359999,16162.9
361499,16138.35
362999,16173.2
364499,16179.4
365999,16161.1
367499,16170.85
368999,16171.55
370499,16157.65
371999,16155.65
373499,16171.15
374999,16176.05
376499,16169.05
377999,16179.7
379499,16144.45
380999,16113.85
382499,16119.45
383999,16130.65
385499,16117.9
386999,16130.3
388499,16153.45
389999,16148.6
391499,16184.7
392999,16146.45
394499,16171.25
395999,16173.25
397499,16177.2
398999,16195.2
400499,16223.9
401999,16208.65
403499,16211.6
404999,16187.65
406499,16184.75
407999,16187.9
409499,16192.95
410999,16183.05
412499,16194.95
413999,16206.65
415499,16181.85
416999,16167.9
418499,16173.85
419999,16173.55
421499,16195.6
422999,16214.6
424499,16221.45
425999,16204.4
427499,16194.0
428999,16194.55
430499,16175.35
431999,16161.7
433499,16162.6
434999,16200.65
436499,16214.2
437999,16236.4
439499,16241.9
440999,16229.7
442499,16245.1
443999,16261.4
445499,16233.65
446999,16270.6
448499,16231.55
449999,16230.7
451499,16246.85
452999,16170.1
454499,16206.85
455999,16231.1
457499,16241.3
458999,16194.4
460499,16207.05
461999,16215.3
463499,16192.0
464999,16195.25
466499,16190.85
467999,16189.45
469499,16221.85
470999,16244.4
472499,16231.25
473999,16233.15
475499,16255.7
476999,16230.9
