n,ipl
999,10775
1999,10878
2999,10814
3999,10767
4999,10591
5999,10567
6999,10619
7999,10542
8999,10552
9999,10532
10999,10568
11999,10695
12999,10602
13999,10547
14999,10688
15999,10711
16999,10783
17999,10736
18999,10649
19999,10526
20999,10466
21999,10598
22999,10631
23999,10558
24999,10601
25999,10469
26999,10451
27999,10623
28999,10664
29999,10673
30999,10619
31999,10527
32999,10448
33999,10496
34999,10559
35999,10555
36999,10382
37999,10437
38999,10484
39999,10451
40999,10406
41999,10572
42999,10519
43999,10654
44999,10550
45999,10500
46999,10433
47999,10452
48999,10517
49999,10574
50999,10521
51999,10575
52999,10500
53999,10542
54999,10593
55999,10558
56999,10564
57999,10598
58999,10679
59999,10684
60999,10732
61999,10630
62999,10058
63999,10083
64999,9979
65999,9908
66999,9827
67999,10020
68999,10081
69999,10078
70999,10065
71999,10105
72999,10131
73999,10050
74999,10032
75999,10135
76999,10001
77999,9993
78999,10028
79999,10173
80999,10167
81999,10046
82999,10043
83999,10104
84999,10082
85999,10131
86999,9941
87999,9990
88999,10231
89999,10344
90999,10236
91999,10219
92999,10032
93999,10063
94999,10074
95999,9994
96999,10053
97999,10082
98999,10053
99999,9925
100999,10063
101999,10209
102999,10182
103999,10117
104999,10153
105999,10038
106999,9937
107999,10067
108999,9957
109999,9990
110999,9974
111999,10021
112999,9965
113999,10044
114999,10063
115999,10032
116999,10085
117999,10031
118999,10002
119999,9927
120999,9833
121999,9762
122999,9964
123999,9872
124999,9953
125999,9914
126999,9936
127999,9887
128999,9824
129999,9883
130999,9958
131999,9939
132999,10015
133999,9980
134999,9918
135999,9990
136999,10044
137999,10024
138999,10077
139999,9909
140999,9798
141999,9777
142999,9885
143999,10021
144999,9875
145999,9962
146999,10048
147999,10012
148999,10031
149999,9994
150999,10056
151999,10096
152999,10197
153999,10109
154999,10145
155999,10049
156999,9960
157999,10130
158999,10204
159999,10093
160999,10033
161999,9936
162999,10052
163999,10041
164999,9971
165999,9914
166999,10144
167999,10224
168999,10186
169999,10181
170999,10213
171999,10149
172999,10033
173999,9986
174999,9920
175999,10084
176999,10149
177999,10035
178999,10159
179999,10162
180999,10216
181999,10083
182999,9979
183999,9744
184999,9827
185999,9759
186999,9901
187999,9847
188999,9933
189999,9831
190999,9877
191999,9748
192999,9864
193999,9899
194999,9849
195999,9962
196999,9800
197999,9897
198999,9906
199999,9920
200999,9864
201999,9974
202999,9909
203999,9996
204999,10108
205999,10094
206999,9987
207999,10078
208999,10042
209999,10013
210999,9940
211999,9934
212999,10008
213999,10044
214999,9956
215999,10002
216999,10024
217999,10044
218999,9979
219999,10048
220999,10035
221999,10039
222999,9900
223999,9857
224999,9871
225999,9890
226999,9878
227999,9820
228999,9883
229999,9855
230999,9913
231999,10020
232999,10001
233999,9966
234999,9907
235999,9953
236999,9876
237999,9943
238999,9982
239999,10007
240999,9997
241999,9973
242999,9978
243999,9970
244999,10058
245999,10072
246999,9999
247999,10025
248999,10132
249999,10129
250999,10122
251999,10067
252999,10067
253999,10150
254999,9988
255999,10043
256999,10115
257999,10027
258999,9938
259999,9990
260999,10045
261999,10047
262999,9971
263999,9979
264999,9934
265999,9882
266999,9902
267999,9976
268999,10191
269999,10144
270999,10221
271999,10244
272999,10302
273999,10298
274999,10246
275999,10200
276999,10128
277999,10102
278999,10172
