n,ipl
10000,155628.25
15000,245438.25
20000,338686.55
25000,434410.95
30000,532275.2
35000,631703.4
40000,732576.4
45000,834741.75
50000,937879.5
55000,1042058.1
60000,1147139.15
65000,1252856.7
70000,1359442.4
75000,1466711.95
80000,1574636.7
85000,1683206.65
90000,1792332.6
95000,1902024.6
100000,2012116.75
105000,2122840.4
110000,2233810.95
115000,2345192.1
120000,2456983.8
125000,2569260.4
130000,2681938.65
135000,2794949.5
140000,2908271.7
145000,3021837.5
150000,3135701.5
155000,3249947.05
160000,3364578.0
165000,3479561.8
170000,3594722.3
175000,3710163.6
180000,3825827.85
185000,3941848.05
190000,4057893.55
195000,4174221.25
200000,4290876.65
