n,ipl
10000,157612
15000,248428
20000,343002
25000,439948
30000,539354
35000,639064
40000,741158
45000,844444
50000,949024
55000,1053965
60000,1160273
65000,1266559
70000,1373863
75000,1482157
80000,1591033
85000,1700735
90000,1811468
95000,1922627
100000,2034198
105000,2145866
110000,2257866
115000,2370237
120000,2483230
125000,2596669
130000,2710276
135000,2824314
140000,2938011
145000,3052242
150000,3167375
155000,3282783
160000,3398331
165000,3514444
170000,3630614
175000,3747251
180000,3863626
185000,3980944
190000,4099123
195000,4216490
200000,4334050
