n,In
10000,17.553685
15000,18.369679999999995
20000,18.947319999999998
25000,19.391564999999993
30000,19.755215
35000,20.065724999999997
40000,20.329865000000005
45000,20.56414
50000,20.77287
55000,20.96156
60000,21.13321
65000,21.29375
70000,21.440949999999997
75000,21.57899
80000,21.708385000000007
85000,21.829735
90000,21.942135
95000,22.049889999999998
100000,22.15191
105000,22.248700000000003
110000,22.342185000000008
115000,22.430999999999997
120000,22.516735
125000,22.597785000000005
130000,22.675475
135000,22.749825000000005
140000,22.821700000000003
145000,22.891799999999996
150000,22.958930000000002
155000,23.024855000000002
160000,23.08766
165000,23.147915
170000,23.20679
175000,23.26463
180000,23.321320000000004
185000,23.375170000000004
190000,23.42868
195000,23.480965
200000,23.5315
