n,In
10000,17.434
15000,18.2512
20000,18.8491
25000,19.301
30000,19.6849
35000,19.9797
40000,20.2382
45000,20.4734
50000,20.681
55000,20.8682
60000,21.0312
65000,21.197
70000,21.34
75000,21.4695
80000,21.5921
85000,21.7132
90000,21.8284
95000,21.9422
100000,22.0432
105000,22.1366
110000,22.2331
115000,22.3181
120000,22.4045
125000,22.4779
130000,22.5547
135000,22.6306
140000,22.703
145000,22.7696
150000,22.8395
155000,22.9049
160000,22.9631
165000,23.0213
170000,23.0824
175000,23.1407
180000,23.1993
185000,23.2529
190000,23.3033
195000,23.3528
200000,23.4034
