n,ipl
1999,24488.5
3999,24349.85
5999,24184.2
7999,24101.95
9999,23930.7
11999,23823.25
13999,23785.9
15999,23752.9
17999,23688.1
19999,23578.35
21999,23586.9
23999,23578.35
25999,23592.2
27999,23549.55
29999,23503.15
31999,23512.9
33999,23497.3
35999,23528.1
37999,23515.1
39999,23436.05
41999,23406.65
43999,23401.1
45999,23343.15
47999,23328.45
49999,23355.25
51999,23367.45
53999,23353.05
55999,23392.15
57999,23350.1
59999,23301.4
61999,23313.15
63999,23358.45
65999,23365.45
67999,23349.7
69999,23327.4
71999,23301.45
73999,23321.05
75999,23299.0
77999,23322.8
79999,23288.85
81999,23257.8
83999,23213.85
85999,23272.2
87999,23257.5
89999,23264.9
91999,23233.45
93999,23199.5
95999,23211.9
97999,23208.85
99999,23215.95
101999,23196.05
103999,23189.35
105999,23192.6
107999,23195.3
109999,23179.0
111999,23194.05
113999,23203.85
115999,23211.8
117999,23204.8
119999,23185.75
121999,23198.3
123999,23126.1
125999,23193.85
127999,23160.25
129999,23114.1
131999,23145.35
133999,23122.4
135999,23090.65
137999,23133.1
139999,23126.4
141999,23088.3
143999,23036.0
145999,23067.0
147999,23040.0
149999,23053.7
151999,23099.65
153999,23075.0
155999,23107.8
157999,23084.4
159999,23041.6
161999,23060.0
163999,23061.65
165999,23034.4
167999,23052.35
169999,23073.75
171999,23075.15
173999,23051.35
175999,23047.75
177999,23019.15
179999,23038.6
181999,23018.6
183999,22992.85
185999,22992.95
187999,22984.5
189999,22971.0
191999,22958.7
193999,22965.4
195999,23001.7
197999,23024.6
199999,22996.45
201999,22974.85
203999,22952.35
205999,22966.65
207999,22972.6
209999,22965.7
211999,22930.9
213999,22960.1
215999,22993.85
217999,22984.0
219999,22952.8
221999,22964.65
223999,22969.9
225999,22979.6
227999,22933.4
229999,22991.6
231999,22947.0
233999,22925.1
235999,22892.95
237999,22923.1
239999,22933.85
241999,22901.4
243999,22923.95
245999,22958.45
247999,22917.6
249999,22928.8
251999,22918.4
253999,22926.85
255999,22901.5
257999,22895.6
259999,22899.45
261999,22900.75
263999,22902.85
265999,22925.3
267999,22955.8
269999,22969.9
271999,22970.65
273999,22951.95
275999,22972.4
277999,22965.95
279999,22962.05
281999,22936.9
283999,22956.25
285999,22944.35
287999,22986.25
289999,23026.2
291999,23011.0
293999,22977.3
295999,22956.9
297999,22978.4
299999,22997.6
301999,22997.8
303999,22961.2
305999,22937.9
307999,22906.35
309999,22939.6
311999,22917.9
313999,22927.1
315999,22920.9
317999,22938.0
319999,22946.95
321999,22974.55
323999,22985.85
325999,22998.35
327999,23009.95
329999,22924.75
331999,22933.15
333999,22945.5
335999,22932.1
337999,22927.65
339999,22920.65
341999,22911.7
343999,22936.6
345999,22896.3
347999,22909.5
349999,22955.85
351999,22958.4
353999,22955.1
355999,22951.95
357999,22930.05
359999,22965.25
361999,22968.85
363999,22960.95
365999,22968.7
367999,22989.1
369999,22969.75
371999,22961.0
373999,22898.1
375999,22874.15
377999,22933.2
379999,22927.75
381999,22953.45
383999,22944.5
385999,22928.95
387999,22940.3
389999,22953.75
391999,22916.6
393999,22921.5
395999,22874.25
397999,22899.7
399999,22900.8
401999,22845.25
403999,22845.65
405999,22831.2
407999,22818.45
409999,22811.5
411999,22803.75
413999,22780.05
415999,22783.05
417999,22795.35
419999,22815.5
421999,22801.6
423999,22800.2
425999,22832.05
427999,22797.05
429999,22792.55
431999,22788.75
433999,22774.15
435999,22789.5
