n,ipl
1499,16842
2999,16766
4499,16730
5999,16190
7499,16078
8999,16049
10499,15921
11999,15830
13499,15944
14999,15944
16499,16005
17999,15835
19499,15741
20999,15786
22499,15779
23999,15707
25499,15794
26999,15655
28499,15546
29999,15382
31499,15451
32999,15442
34499,15529
35999,15589
37499,15617
38999,15502
40499,15527
41999,15542
43499,15440
44999,15461
46499,15501
47999,15588
49499,15453
50999,15474
52499,15378
53999,15250
55499,15271
56999,15349
58499,15311
59999,15344
61499,15409
62999,15372
64499,15444
65999,15530
67499,15353
68999,15315
70499,15331
71999,15354
73499,15435
74999,15461
76499,15569
77999,15450
79499,15401
80999,15470
82499,15356
83999,15397
85499,15400
86999,15337
88499,15389
89999,15325
91499,15259
92999,15366
94499,15482
95999,15440
97499,15452
98999,15439
100499,15459
101999,15398
103499,15482
104999,15623
106499,15607
107999,15628
109499,15659
110999,15652
112499,15492
113999,15405
115499,15395
116999,15589
118499,15611
119999,15495
121499,15319
122999,15369
124499,15452
125999,15304
127499,15423
128999,15424
130499,15405
131999,15439
133499,15429
134999,15523
136499,15549
137999,15506
139499,15335
140999,15431
142499,15266
143999,15217
145499,15203
146999,15288
148499,15342
149999,15365
151499,15467
152999,15437
154499,15398
155999,15449
157499,15333
158999,15358
160499,15581
161999,15626
163499,15502
164999,15407
166499,15462
167999,15163
169499,15194
170999,15263
172499,15311
173999,15243
175499,15429
176999,15460
178499,15409
179999,15405
181499,15269
182999,15092
184499,15168
185999,15260
187499,15418
188999,15409
190499,15343
191999,15473
193499,15422
194999,15343
196499,15393
197999,15295
199499,15271
200999,15359
202499,15493
203999,15468
205499,15366
206999,15395
208499,15396
209999,15358
211499,15439
212999,15391
214499,15213
215999,15333
217499,15409
218999,15430
220499,15396
221999,15393
223499,15466
224999,15513
226499,15607
227999,15531
229499,15485
230999,15496
232499,15433
233999,15538
235499,15607
236999,15441
238499,15427
239999,15653
241499,15538
242999,15338
244499,15286
245999,15256
247499,15271
248999,15435
250499,15426
251999,15465
253499,15385
254999,15424
256499,15390
257999,15576
259499,15468
260999,15398
262499,15424
263999,15457
265499,15513
266999,15461
268499,15542
269999,15535
271499,15463
272999,15382
274499,15411
275999,15509
277499,15462
278999,15460
280499,15405
281999,15417
283499,15429
284999,15542
286499,15581
287999,15596
289499,15578
290999,15550
292499,15506
293999,15559
295499,15549
296999,15418
298499,15529
299999,15560
301499,15566
302999,15522
304499,15480
305999,15606
307499,15585
308999,15683
310499,15649
311999,15572
313499,15714
314999,15665
316499,15605
317999,15545
319499,15661
320999,15609
322499,15436
323999,15477
325499,15509
326999,15519
328499,15526
329999,15648
331499,15583
332999,15608
334499,15546
335999,15576
337499,15671
338999,15751
340499,15567
341999,15673
343499,15688
344999,15754
346499,15760
347999,15795
349499,15650
350999,15701
352499,15748
353999,15903
355499,15752
356999,15712
358499,15765
359999,15790
361499,15668
362999,15657
364499,15676
365999,15619
367499,15712
368999,15769
370499,15646
371999,15672
373499,15593
374999,15716
376499,15725
377999,15694
379499,15606
380999,15640
382499,15642
383999,15735
385499,15775
386999,15716
388499,15691
389999,15639
391499,15736
392999,15776
394499,15827
395999,15848
397499,15776
398999,15672
400499,15629
401999,15675
403499,15564
404999,15685
406499,15635
407999,15662
409499,15590
410999,15606
412499,15684
413999,15512
415499,15643
416999,15653
418499,15670
419999,15578
421499,15672
422999,15708
424499,15731
425999,15669
427499,15731
428999,15531
430499,15499
431999,15466
433499,15590
434999,15620
436499,15550
437999,15561
439499,15584
440999,15583
442499,15613
443999,15627
445499,15547
446999,15558
448499,15481
449999,15502
451499,15516
452999,15482
454499,15521
455999,15586
457499,15699
458999,15842
460499,15726
461999,15818
463499,15658
464999,15743
466499,15423
467999,15633
469499,15511
470999,15521
472499,15598
473999,15669
475499,15707
476999,15649
478499,15634
479999,15583
481499,15490
482999,15407
484499,15498
485999,15498
487499,15672
488999,15555
490499,15543
491999,15640
493499,15577
494999,15758
496499,15895
497999,15707
499499,15699
500999,15710
502499,15779
503999,15762
505499,15765
506999,15836
508499,15919
509999,15966
511499,15922
512999,15729
514499,15829
515999,15857
517499,15753
518999,15911
520499,15922
521999,15883
523499,15975
524999,15915
526499,15868
527999,15823
529499,15879
530999,15880
532499,15925
533999,15885
535499,15893
536999,15975
538499,15969
539999,16029
541499,16031
542999,16106
544499,15964
545999,15913
547499,15922
548999,16003
550499,15836
551999,15793
553499,15688
554999,15826
556499,15886
557999,16039
559499,15974
560999,15981
562499,15978
563999,15991
565499,15954
566999,15810
568499,15873
569999,15808
571499,15844
572999,15902
574499,15942
575999,15823
577499,15855
578999,15968
580499,15936
581999,16017
583499,15830
584999,15788
586499,15850
587999,15994
589499,15916
590999,16120
592499,16047
593999,15862
595499,15736
596999,15769
598499,15748
599999,15800
601499,15794
602999,15859
604499,15961
605999,15783
607499,15839
608999,15871
610499,15812
611999,15949
613499,15867
614999,15906
616499,15918
617999,16056
619499,16197
620999,16107
622499,15971
623999,15726
625499,15695
626999,15602
628499,15651
629999,15623
631499,15729
632999,15657
634499,15619
635999,15658
637499,15798
638999,15760
640499,15846
641999,15601
643499,15640
644999,15559
646499,15744
647999,15743
649499,15719
650999,15734
652499,15752
653999,15769
655499,15789
656999,15820
658499,15743
659999,15698
661499,15663
662999,15776
664499,15696
665999,15679
667499,15418
668999,15516
670499,15596
671999,15610
673499,15530
674999,15487
676499,15520
677999,15638
679499,15616
680999,15698
682499,15579
683999,15621
685499,15681
686999,15756
688499,15707
689999,15701
