n,ipl
10000,156245.35
15000,246662.85
20000,340332.35
25000,436473.15
30000,534628.65
35000,634383.5
40000,735610.7
45000,838045.5
50000,941527.05
55000,1046067.1
60000,1151365.35
65000,1257575.2
70000,1364456.25
75000,1472133.3
80000,1580482.2
85000,1689287.05
90000,1798726.0
95000,1908744.3
100000,2019274.8
105000,2130221.85
110000,2241658.35
115000,2353417.6
120000,2465595.3
125000,2578168.0
130000,2691101.95
135000,2804431.8
140000,2918219.4
145000,3032270.35
150000,3146588.05
155000,3261131.6
160000,3376159.9
165000,3491454.05
170000,3607009.65
175000,3722815.9
180000,3838806.45
185000,3955127.75
190000,4071748.65
195000,4188621.75
200000,4305674.95
