n,ipl
10000,158686
15000,250920
20000,346440
25000,443578
30000,542658
35000,643272
40000,745046
45000,848637
50000,953643
55000,1058714
60000,1165201
65000,1272850
70000,1381189
75000,1490021
80000,1599816
85000,1709614
90000,1820416
95000,1931473
100000,2042923
105000,2155429
110000,2268469
115000,2381027
120000,2494687
125000,2608449
130000,2722214
135000,2837043
140000,2952396
145000,3068189
150000,3183784
155000,3299143
160000,3414461
165000,3530589
170000,3647371
175000,3764837
180000,3881871
185000,3999420
190000,4117286
195000,4234592
200000,4352942
