n,In
10000,17.63733
15000,18.44013
20000,19.01319
25000,19.458889999999997
30000,19.823245
35000,20.132659999999994
40000,20.399375
45000,20.63177
50000,20.8435
55000,21.033199999999997
60000,21.20814
65000,21.36945
70000,21.517490000000002
75000,21.65447
80000,21.782605000000004
85000,21.904244999999992
90000,22.017594999999996
95000,22.1266
100000,22.22875
105000,22.32676
110000,22.419565000000002
115000,22.508780000000005
120000,22.593359999999997
125000,22.67544
130000,22.7532
135000,22.829144999999997
140000,22.901
145000,22.97062
150000,23.03821
155000,23.103794999999998
160000,23.167779999999997
165000,23.229745
170000,23.288785
175000,23.34682
180000,23.403245
185000,23.458289999999998
190000,23.511174999999998
195000,23.562725
200000,23.612825000000004
