n,In
10000,16.8138
15000,17.5858
20000,18.1412
25000,18.5806
30000,18.9353
35000,19.2344
40000,19.4984
45000,19.7358
50000,19.9447
55000,20.1489
60000,20.3202
65000,20.472
70000,20.6217
75000,20.7596
80000,20.8963
85000,21.0206
90000,21.1352
95000,21.2439
100000,21.3528
105000,21.4514
110000,21.5451
115000,21.6336
120000,21.7192
125000,21.802
130000,21.8772
135000,21.9541
140000,22.0244
145000,22.095
150000,22.1613
155000,22.2287
160000,22.2925
165000,22.3531
170000,22.4127
175000,22.4709
180000,22.5274
185000,22.584
190000,22.6376
195000,22.689
200000,22.7385
