tpl,tpu
262.65,0.5
555.4,3.95
876.95,13.75
1238.45,32.05
1649.95,63.2
2136.1,113.5
2699.3,189.5
3413.7,315.35
4366.8,494.65
5893.3,760.55
8546.2,1221.0
12229.65,1952.65
13773.65,2943.65
15822.1,4105.0
16631.35,5380.65
17001.1,6728.8
17666.55,8098.45
18053.75,9520.45
19030.3,10909.4
17311.05,12301.15
18952.2,13667.1
17007.85,15001.45
17378.55,16314.6
16182.5,17587.35
17227.45,18835.15
16403.95,20044.05
15404.55,21211.6
15913.6,22358.05
16152.55,23484.3
15644.55,24581.2
16144.6,25646.25
14575.7,26689.35
14912.95,27688.15
14075.95,28654.4
14059.95,29581.2
14168.75,30481.35
13065.55,31351.25
12994.35,32186.35
12790.3,33015.2
13597.35,33819.25
12814.8,34602.25
12689.8,35383.0
12346.25,36124.85
12578.45,36834.2
11542.25,37524.95
11545.75,38202.25
11818.45,38878.0
10891.65,39505.6
11182.35,40125.6
11513.6,40737.65
10949.65,41350.95
10851.3,41935.9
10304.3,42485.9
10291.8,43038.9
10226.75,43599.75
10536.1,44144.05
9874.6,44670.5
10119.0,45187.0
9884.95,45695.85
10195.55,46206.6
9807.05,46697.1
9767.0,47184.1
9504.9,47647.95
9152.3,48089.2
9479.2,48537.1
9030.55,48966.45
9487.35,49385.15
8904.9,49798.75
8888.526315789473,50187.52631578947
9038.631578947368,50577.73684210526
8849.0,50941.555555555555
8599.882352941177,51283.17647058824
8670.0,51656.82352941176
8936.470588235294,52022.17647058824
8721.64705882353,52394.23529411765
8509.529411764706,52746.64705882353
8247.4375,53036.0
8002.25,53354.25
7703.75,53642.8125
7558.533333333334,54129.933333333334
7477.066666666667,54370.333333333336
7407.333333333333,54621.666666666664
7684.928571428572,54940.07142857143
7588.785714285715,55207.5
7107.5,55352.75
7241.909090909091,55496.63636363636
7019.727272727273,55710.36363636364
6823.818181818182,55900.818181818184
6463.2,56104.3
6175.0,55975.666666666664
6665.125,56475.25
6446.5,56629.625
6298.875,56771.875
6271.142857142857,57187.142857142855
6147.142857142857,57309.71428571428
6034.571428571428,57421.42857142857
5935.142857142857,57520.71428571428
5577.833333333333,57287.666666666664
6229.333333333333,57410.166666666664
6153.0,57080.4
6038.4,57190.4
5938.8,57290.0
5848.6,57379.6
5768.6,57459.0
5697.0,57530.8
