tpl,tpu
250.9,0.0
508.4,0.7
776.75,3.9
1061.85,13.2
1369.55,31.25
1724.05,65.95
2121.3,117.75
2625.85,213.25
3287.25,352.8
4334.7,568.6
6371.0,950.15
8208.9,1549.4
9418.95,2326.1
10249.0,3209.0
10947.1,4165.2
11370.65,5184.7
11817.0,6241.45
12253.95,7345.6
12555.95,8469.95
12549.7,9609.5
12904.55,10777.85
13004.15,11956.5
13093.9,13123.8
13273.85,14304.45
13305.05,15479.85
13490.3,16679.25
13603.75,17880.0
13645.8,19106.0
13665.9,20325.8
13679.9,21534.15
13634.5,22749.5
13769.1,23984.35
13656.25,25185.3
13747.3,26404.95
13773.75,27605.8
13880.5,28822.2
13835.8,30037.95
13874.55,31247.4
13941.1,32454.35
13884.9,33677.5
13834.7,34901.35
13882.1,36092.45
13800.4,37316.05
13844.7,38520.3
14048.95,39758.5
13893.15,40972.15
13931.65,42183.5
13911.1,43419.85
13936.55,44654.65
13947.5,45892.5
13900.1,47099.95
13907.05,48324.9
13947.8,49529.4
14005.95,50727.75
13965.25,51945.2
14082.75,53178.4
14021.15,54412.25
13946.35,55643.95
13987.3,56857.1
13974.05,58069.0
13887.7,59270.9
13923.9,60496.35
14055.5,61710.15
14086.35,62926.05
13974.1,64135.4
13965.5,65359.2
14012.2,66584.25
13917.15,67811.5
13977.78947368421,69268.42105263157
13964.526315789473,70487.0
14157.166666666666,71935.88888888889
14128.235294117647,73534.76470588235
14173.0,74793.76470588235
14080.058823529413,76026.5294117647
14095.411764705883,77260.11764705883
14236.235294117647,78483.94117647059
14188.4375,80244.8125
14229.4375,81509.125
14114.1875,82740.8125
14172.8,83785.6
14197.666666666666,85015.8
14174.8,86265.73333333334
14128.5,87858.64285714286
14230.57142857143,89113.07142857143
14131.5,90624.5
14153.545454545454,92421.18181818182
14334.181818181818,93683.63636363637
14187.181818181818,94930.09090909091
14286.8,96239.2
14521.888888888889,98173.11111111111
14613.875,100588.75
14599.375,101865.75
14714.625,103150.875
14664.285714285714,104098.0
14472.42857142857,105339.85714285714
14711.57142857143,106646.14285714286
14941.57142857143,107910.85714285714
14519.333333333334,108926.66666666667
14713.833333333334,110159.33333333333
14646.0,113397.0
14607.2,114623.4
14444.0,115983.8
14553.4,117322.6
14343.8,118606.2
14739.0,119908.2
